time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
1120.756,-0.0147,0.9018,0.193,359.5258,332.0784,1.5951
1120.767,-0.015,0.9016,0.1928,359.2927,332.1259,1.7498
1120.778,-0.015,0.9016,0.1928,359.2927,332.1259,1.7498
1120.789,-0.0153,0.9013,0.1927,359.0511,332.3454,1.8848
1120.8,-0.0155,0.9012,0.1926,358.9052,332.4521,2.0019
1120.812,-0.0155,0.9012,0.1926,358.9052,332.4521,2.0019
1120.823,-0.0158,0.9011,0.1921,358.5513,332.499,2.3153
1120.833,-0.0158,0.9011,0.1921,358.5513,332.499,2.3153
1120.845,-0.0163,0.901,0.1917,358.3135,332.4825,2.7207
1120.856,-0.0163,0.901,0.1917,358.3135,332.4825,2.7207
1120.867,-0.0165,0.9009,0.1913,358.1984,332.5668,3.0229
1120.878,-0.0165,0.9009,0.1913,358.1984,332.5668,3.0229
1120.889,-0.0166,0.901,0.1911,358.1883,332.7352,3.0992
1120.9,-0.0166,0.9011,0.1909,358.2195,332.8168,3.1304
1120.911,-0.0166,0.9011,0.1909,358.2195,332.8168,3.1304
1120.922,-0.0168,0.9013,0.1904,358.2557,332.7219,3.3761
1120.934,-0.0168,0.9013,0.1904,358.2557,332.7219,3.3761
1120.945,-0.0171,0.9017,0.1898,358.514,332.5204,3.7071
1120.956,-0.0171,0.9017,0.1898,358.514,332.5204,3.7071
1120.967,-0.0175,0.9023,0.1895,359.1067,332.211,4.1518
1120.978,-0.0175,0.9023,0.1895,359.1067,332.211,4.1518
1120.989,-0.0181,0.9034,0.1894,0.03,331.6532,4.6755
1121,-0.0185,0.9042,0.1898,0.5973,331.3911,4.7796
1121.011,-0.0185,0.9042,0.1898,0.5973,331.3911,4.7796
1121.022,-0.0201,0.9062,0.191,1.0159,330.9684,4.7332
1121.034,-0.0201,0.9062,0.191,1.0159,330.9684,4.7332
1121.045,-0.0227,0.908,0.1932,1.2757,330.1941,3.9284
1121.056,-0.0227,0.908,0.1932,1.2757,330.1941,3.9284
1121.067,-0.0261,0.9093,0.1961,2.0739,329.1335,3.3592
1121.078,-0.0261,0.9093,0.1961,2.0739,329.1335,3.3592
1121.089,-0.0308,0.9097,0.2002,3.774,328.9547,3.8893
1121.1,-0.0336,0.9098,0.2024,4.5488,329.127,4.5561
1121.111,-0.0336,0.9098,0.2024,4.5488,329.127,4.5561
1121.123,-0.0392,0.91,0.2071,5.9848,329.3555,5.6215
1121.134,-0.0392,0.91,0.2071,5.9848,329.3555,5.6215
1121.145,-0.045,0.9108,0.2122,5.8249,329.0307,6.0941
1121.156,-0.045,0.9108,0.2122,5.8249,329.0307,6.0941
1121.167,-0.0509,0.9112,0.2183,6.0261,328.9429,7.2176
1121.178,-0.0509,0.9112,0.2183,6.0261,328.9429,7.2176
1121.189,-0.056,0.9114,0.226,6.3346,329.4692,7.8318
1121.2,-0.0579,0.9116,0.2305,6.47,329.972,7.8044
1121.211,-0.0579,0.9116,0.2305,6.47,329.972,7.8044
1121.222,-0.0607,0.9117,0.2403,6.9616,331.4986,7.5309
1121.234,-0.0607,0.9117,0.2403,6.9616,331.4986,7.5309
1121.245,-0.0626,0.9114,0.2504,7.4714,333.7115,7.6661
1121.256,-0.0626,0.9114,0.2504,7.4714,333.7115,7.6661
1121.267,-0.0638,0.9105,0.2602,7.3493,335.4104,8.0936
1121.278,-0.0638,0.9105,0.2602,7.3493,335.4104,8.0936
1121.289,-0.064,0.9088,0.2699,7.6417,336.8119,8.5836
1121.3,-0.0635,0.9078,0.2749,8.0848,337.6424,8.5139
1121.311,-0.0635,0.9078,0.2749,8.0848,337.6424,8.5139
1121.323,-0.0613,0.9061,0.2846,9.0192,339.4475,7.5561
1121.334,-0.0613,0.9061,0.2846,9.0192,339.4475,7.5561
1121.345,-0.0582,0.9041,0.2935,10.0137,341.4487,6.5599
1121.356,-0.0582,0.9041,0.2935,10.0137,341.4487,6.5599
1121.367,-0.0549,0.9017,0.3007,10.4713,343.2976,6.5435
1121.378,-0.0549,0.9017,0.3007,10.4713,343.2976,6.5435
1121.389,-0.0519,0.8993,0.3065,10.7653,344.5411,6.6669
1121.4,-0.0502,0.8983,0.3088,10.9759,344.8322,6.4062
1121.411,-0.0502,0.8983,0.3088,10.9759,344.8322,6.4062
1121.423,-0.0466,0.8961,0.3134,11.6698,345.6602,5.7131
1121.434,-0.0466,0.8961,0.3134,11.6698,345.6602,5.7131
1121.445,-0.0431,0.8941,0.3173,12.5719,346.5914,5.3785
1121.456,-0.0431,0.8941,0.3173,12.5719,346.5914,5.3785
1121.467,-0.0398,0.8926,0.3203,13.0205,347.2223,5.0585
1121.478,-0.0398,0.8926,0.3203,13.0205,347.2223,5.0585
1121.489,-0.0366,0.8919,0.3226,13.4168,347.5262,4.3983
1121.5,-0.0352,0.8918,0.3233,13.5465,347.6383,3.9951
1121.511,-0.0352,0.8918,0.3233,13.5465,347.6383,3.9951
1121.522,-0.0328,0.8919,0.3243,13.673,347.8407,3.3163
1121.534,-0.0328,0.8919,0.3243,13.673,347.8407,3.3163
1121.545,-0.031,0.8924,0.3245,13.4432,348.0159,2.919
1121.556,-0.031,0.8924,0.3245,13.4432,348.0159,2.919
1121.567,-0.0301,0.8929,0.3242,13.1171,348.162,3.0525
1121.578,-0.0301,0.8929,0.3242,13.1171,348.162,3.0525
1121.589,-0.0298,0.8936,0.3235,12.8212,347.9489,3.1281
1121.6,-0.0299,0.894,0.323,12.7286,347.8388,3.1334
1121.612,-0.0299,0.894,0.323,12.7286,347.8388,3.1334
1121.622,-0.0302,0.8949,0.322,12.6325,347.6415,3.0497
1121.634,-0.0302,0.8949,0.322,12.6325,347.6415,3.0497
1121.645,-0.0309,0.896,0.3207,12.5278,347.2747,2.9186
1121.656,-0.0309,0.896,0.3207,12.5278,347.2747,2.9186
1121.667,-0.032,0.897,0.319,12.3101,346.7797,2.8176
1121.678,-0.032,0.897,0.319,12.3101,346.7797,2.8176
1121.689,-0.0335,0.8978,0.317,12.0355,346.1889,2.9719
1121.7,-0.0343,0.8981,0.316,11.8981,345.8761,3.0324
1121.712,-0.0343,0.8981,0.316,11.8981,345.8761,3.0324
1121.723,-0.0356,0.8984,0.3141,11.7324,345.311,3.0691
1121.734,-0.0356,0.8984,0.3141,11.7324,345.311,3.0691
1121.745,-0.0366,0.8984,0.3127,11.7752,345.059,2.9688
1121.756,-0.0366,0.8984,0.3127,11.7752,345.059,2.9688
1121.767,-0.0373,0.8981,0.3115,11.9577,344.8246,2.7329
1121.778,-0.0373,0.8981,0.3115,11.9577,344.8246,2.7329
1121.789,-0.0379,0.8977,0.3105,12.0953,344.5515,2.5196
1121.8,-0.0381,0.8975,0.3101,12.0678,344.4591,2.4777
1121.811,-0.0381,0.8975,0.3101,12.0678,344.4591,2.4777
1121.822,-0.0381,0.8973,0.3099,11.9093,344.6193,2.6732
1121.834,-0.0381,0.8973,0.3099,11.9093,344.6193,2.6732
1121.845,-0.0383,0.897,0.3096,11.5638,344.9435,2.9048
1121.856,-0.0383,0.897,0.3096,11.5638,344.9435,2.9048
1121.867,-0.0382,0.897,0.3098,11.3226,345.0746,2.942
1121.878,-0.0382,0.897,0.3098,11.3226,345.0746,2.942
1121.889,-0.038,0.897,0.3104,11.4818,345.0471,2.7445
1121.901,-0.0377,0.8969,0.3111,11.6867,345.0927,2.5015
1121.911,-0.0377,0.8969,0.3111,11.6867,345.0927,2.5015
1121.922,-0.0375,0.8969,0.3121,11.8523,345.1378,2.3129
1121.934,-0.0375,0.8969,0.3121,11.8523,345.1378,2.3129
1121.945,-0.0374,0.897,0.3129,11.8216,345.2791,2.4308
1121.956,-0.0374,0.897,0.3129,11.8216,345.2791,2.4308
1121.967,-0.0373,0.8972,0.314,11.6162,345.4836,2.5185
1121.978,-0.0373,0.8972,0.314,11.6162,345.4836,2.5185
1121.989,-0.0375,0.8973,0.3147,11.4967,345.5378,2.4906
1122,-0.0376,0.8972,0.3147,11.5498,345.4882,2.4823
1122.011,-0.0376,0.8972,0.3147,11.5498,345.4882,2.4823
1122.022,-0.0378,0.8972,0.3151,11.5857,345.4523,2.4693
1122.034,-0.0378,0.8972,0.3151,11.5857,345.4523,2.4693
1122.045,-0.0382,0.8973,0.3159,11.6118,345.4136,2.4138
1122.056,-0.0382,0.8973,0.3159,11.6118,345.4136,2.4138
1122.067,-0.0385,0.8973,0.3163,11.5775,345.4085,2.4195
1122.078,-0.0385,0.8973,0.3163,11.5775,345.4085,2.4195
1122.089,-0.0391,0.8974,0.3167,11.4876,345.3582,2.4504
1122.1,-0.0394,0.8974,0.3167,11.4434,345.278,2.4491
1122.111,-0.0394,0.8974,0.3167,11.4434,345.278,2.4491
1122.122,-0.04,0.8973,0.3167,11.4069,345.0588,2.3993
1122.134,-0.04,0.8973,0.3167,11.4069,345.0588,2.3993
1122.145,-0.0401,0.8973,0.3165,11.434,344.9649,2.3233
1122.156,-0.0401,0.8973,0.3165,11.434,344.9649,2.3233
1122.167,-0.0401,0.8973,0.3163,11.393,344.9732,2.1903
1122.178,-0.0401,0.8973,0.3163,11.393,344.9732,2.1903
1122.189,-0.0402,0.8972,0.316,11.3793,344.9563,2.1745
1122.2,-0.0402,0.8972,0.3158,11.3711,344.9171,2.1554
1122.212,-0.0402,0.8972,0.3158,11.3711,344.9171,2.1554
1122.223,-0.0401,0.8972,0.3154,11.3782,344.8221,2.1055
