timestamp,log_type,message
0.02,Warning,"A Canvas named ""[UXF_UI]"" with a render mode of ScreenSpaceOverlay is being used while VR is also enabled. This Canvas will continue to incur a rendering cost but will not be visible while in VR. Is this intentional?"
61.5696,Log,Loaded: D:\shanaa\repos\unity-2RateVRComparison\UFile_2RateVRComparison\data\participant_list_A.csv
92.2244,Log,Updating: D:\shanaa\repos\unity-2RateVRComparison\UFile_2RateVRComparison\data\participant_list_A.csv
92.2244,Log,show instruction = true  expanding
92.2244,Log,0
110.8895,Log,0
113.6007,Log,0
116.245,Log,0
119.1455,Log,0
121.7899,Log,0
124.6231,Log,0
127.2231,Log,0
129.9899,Log,0
132.6675,Log,0
135.4899,Log,0
138.0009,Log,0
140.5231,Log,0
143.1013,Log,0
145.89,Log,0
148.4676,Log,0
150.9011,Log,0
153.4234,Log,0
156.0009,Log,0
158.5677,Log,0
160.7903,Log,0
163.3456,Log,0
165.9456,Log,0
168.8458,Log,0
170.9682,Log,0
173.3006,Log,0
176.0457,Log,0
178.6901,Log,0
181.2458,Log,0
184.4013,Log,0
187.8905,Log,0
190.3905,Log,0
193.024,Log,show instruction = false  doing nothing
193.024,Log,if statement works for this trial
193.024,Log,0
195.6459,Log,if statement works for this trial
195.6459,Log,1
198.1682,Log,if statement works for this trial
198.1682,Log,2
200.746,Log,if statement works for this trial
200.746,Log,3
203.4019,Log,if statement works for this trial
203.4019,Log,4
206.024,Log,if statement works for this trial
206.024,Log,5
208.7461,Log,if statement works for this trial
208.7461,Log,6
211.2906,Log,if statement works for this trial
211.2906,Log,7
214.0461,Log,if statement works for this trial
214.0461,Log,8
216.7684,Log,if statement works for this trial
216.7684,Log,9
219.4018,Log,if statement works for this trial
219.4018,Log,10
222.0463,Log,if statement works for this trial
222.0463,Log,11
224.6685,Log,if statement works for this trial
224.6685,Log,12
227.2907,Log,if statement works for this trial
227.2907,Log,13
229.9462,Log,if statement works for this trial
229.9462,Log,14
232.5467,Log,if statement works for this trial
232.5467,Log,15
235.0908,Log,if statement works for this trial
235.0908,Log,16
237.6689,Log,if statement works for this trial
237.6689,Log,17
240.2242,Log,if statement works for this trial
240.2242,Log,18
242.6243,Log,if statement works for this trial
242.6243,Log,19
245.1467,Log,if statement works for this trial
245.1467,Log,20
247.5465,Log,if statement works for this trial
247.5465,Log,21
250.0466,Log,if statement works for this trial
250.0466,Log,22
253.2801,Log,if statement works for this trial
253.2801,Log,23
255.9244,Log,if statement works for this trial
255.9244,Log,24
259.8244,Log,if statement works for this trial
259.8244,Log,25
264.3802,Log,if statement works for this trial
264.3802,Log,26
267.0468,Log,if statement works for this trial
267.0468,Log,27
269.769,Log,if statement works for this trial
269.769,Log,28
272.9806,Log,if statement works for this trial
272.9806,Log,29
275.791,Log,30
288.5693,Log,30
291.3023,Log,30
296.6805,Log,30
299.6806,Log,30
302.903,Log,30
305.6472,Log,30
309.2029,Log,30
312.0472,Log,30
316.825,Log,30
321.2697,Log,30
324.1028,Log,30
326.8471,Log,30
332.6029,Log,30
336.4808,Log,30
340.1473,Log,30
342.8253,Log,30
347.481,Log,30
351.27,Log,30
355.0254,Log,30
359.3255,Log,30
365.6033,Log,30
369.3706,Log,30
373.4701,Log,30
377.8483,Log,30
382.0258,Log,30
385.5037,Log,30
388.6259,Log,30
391.6815,Log,30
395.3815,Log,30
399.126,Log,30
402.5481,Log,30
405.9482,Log,30
409.7481,Log,30
413.2261,Log,30
417.3819,Log,30
421.9482,Log,30
