directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,test_to_log,cursor_visibility,rotation,trial_type,target_angle,example_object_movement_filename
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,1,1,1,92.2244,110.8895,A,True,0,aligned_1,130,example_object_movement_T001.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,2,1,2,110.8895,113.6007,A,True,0,aligned_1,140,example_object_movement_T002.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,3,1,3,113.6007,116.245,A,True,0,aligned_1,140,example_object_movement_T003.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,4,1,4,116.245,119.1455,A,True,0,aligned_1,130,example_object_movement_T004.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,5,1,5,119.1455,121.7899,A,True,0,aligned_1,140,example_object_movement_T005.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,6,1,6,121.7899,124.6231,A,True,0,aligned_1,130,example_object_movement_T006.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,7,1,7,124.6231,127.2231,A,True,0,aligned_1,130,example_object_movement_T007.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,8,1,8,127.2231,129.9899,A,True,0,aligned_1,140,example_object_movement_T008.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,9,1,9,129.9899,132.6675,A,True,0,aligned_1,140,example_object_movement_T009.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,10,1,10,132.6675,135.4899,A,True,0,aligned_1,130,example_object_movement_T010.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,11,1,11,135.4899,138.0009,A,True,0,aligned_1,140,example_object_movement_T011.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,12,1,12,138.0009,140.5231,A,True,0,aligned_1,130,example_object_movement_T012.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,13,1,13,140.5231,143.1013,A,True,0,aligned_1,140,example_object_movement_T013.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,14,1,14,143.1013,145.89,A,True,0,aligned_1,130,example_object_movement_T014.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,15,1,15,145.89,148.4676,A,True,0,aligned_1,130,example_object_movement_T015.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,16,1,16,148.4676,150.9011,A,True,0,aligned_1,140,example_object_movement_T016.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,17,1,17,150.9011,153.4234,A,True,0,aligned_1,130,example_object_movement_T017.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,18,1,18,153.4234,156.0009,A,True,0,aligned_1,140,example_object_movement_T018.csv
