time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
294.1178,0.0002,0.9288,0.202,23.7041,264.6751,309.8511
294.1291,0.0001,0.9285,0.202,23.7339,264.5248,309.7151
294.1379,0.0001,0.9285,0.202,23.7339,264.5248,309.7151
294.149,0.0001,0.9286,0.202,23.7318,264.5213,309.726
294.1602,0,0.9286,0.202,23.7345,264.5164,309.7362
294.1709,0,0.9286,0.202,23.7345,264.5164,309.7362
294.1831,0,0.9286,0.202,23.7328,264.4897,309.7349
294.1938,0,0.9286,0.202,23.7328,264.4897,309.7349
294.2046,-0.0001,0.9286,0.202,23.7366,264.4671,309.7283
294.2159,-0.0001,0.9286,0.202,23.7366,264.4671,309.7283
294.227,-0.0001,0.9286,0.2021,23.742,264.4493,309.7315
294.2379,-0.0001,0.9286,0.2021,23.742,264.4493,309.7315
294.2495,-0.0002,0.9287,0.202,23.7486,264.4305,309.7571
294.2603,-0.0002,0.9287,0.202,23.7515,264.4189,309.7703
294.2726,-0.0002,0.9287,0.202,23.7515,264.4189,309.7703
294.2836,-0.0003,0.9288,0.202,23.7494,264.3957,309.7919
294.2936,-0.0003,0.9288,0.202,23.7494,264.3957,309.7919
294.3046,-0.0003,0.9287,0.2019,23.738,264.3776,309.7716
294.3156,-0.0003,0.9287,0.2019,23.738,264.3776,309.7716
294.3268,-0.0003,0.9286,0.202,23.7268,264.3681,309.7294
294.3383,-0.0003,0.9286,0.202,23.7268,264.3681,309.7294
294.3491,-0.0003,0.9287,0.202,23.6943,264.4232,309.7394
294.3602,-0.0002,0.9288,0.202,23.6616,264.4824,309.7748
294.3713,-0.0002,0.9288,0.202,23.6616,264.4824,309.7748
294.3823,0,0.929,0.202,23.5687,264.6779,309.8987
294.3936,0,0.929,0.202,23.5687,264.6779,309.8987
294.4054,0.0002,0.9292,0.2021,23.456,264.9279,310.0507
294.4164,0.0002,0.9292,0.2021,23.456,264.9279,310.0507
294.4269,0.0005,0.9295,0.2022,23.2933,265.2156,310.2461
294.4378,0.0005,0.9295,0.2022,23.2933,265.2156,310.2461
294.4492,0.0007,0.9301,0.2022,23.0115,265.6565,310.6224
294.4605,0.0008,0.9306,0.2021,22.8481,265.8862,310.8917
294.4715,0.0008,0.9306,0.2021,22.8481,265.8862,310.8917
294.4827,0.0011,0.932,0.2018,22.2171,266.2468,311.7168
294.4936,0.0011,0.932,0.2018,22.2171,266.2468,311.7168
294.5047,0.002,0.9333,0.2017,22.0471,266.731,312.3435
294.5166,0.002,0.9333,0.2017,22.0471,266.731,312.3435
294.5279,0.0029,0.9344,0.202,21.8378,267.3744,312.8344
294.538,0.0029,0.9344,0.202,21.8378,267.3744,312.8344
294.549,0.0038,0.9356,0.2024,21.5654,268.3679,313.6334
294.5601,0.0044,0.9362,0.2028,21.3531,268.7739,313.846
294.5716,0.0044,0.9362,0.2028,21.3531,268.7739,313.846
294.5826,0.0062,0.9372,0.2045,20.8952,269.82,313.9031
294.5938,0.0062,0.9372,0.2045,20.8952,269.82,313.9031
294.6048,0.0086,0.9382,0.208,20.6039,271.8245,314.6041
294.616,0.0086,0.9382,0.208,20.6039,271.8245,314.6041
294.6267,0.0121,0.9389,0.2136,20.2511,274.4453,314.8635
294.6381,0.0121,0.9389,0.2136,20.2511,274.4453,314.8635
294.6492,0.0166,0.9395,0.2202,19.8272,276.9981,314.7661
294.6602,0.0191,0.9399,0.2237,19.4357,278.0252,314.4853
294.6713,0.0191,0.9399,0.2237,19.4357,278.0252,314.4853
294.6824,0.0246,0.9405,0.2304,18.5475,279.7562,313.6674
294.6938,0.0246,0.9405,0.2304,18.5475,279.7562,313.6674
294.7047,0.0303,0.9408,0.2366,17.8642,281.4614,312.9944
294.7163,0.0303,0.9408,0.2366,17.8642,281.4614,312.9944
294.727,0.0357,0.9406,0.2419,17.7114,283.1318,312.887
294.7378,0.0357,0.9406,0.2419,17.7114,283.1318,312.887
294.7492,0.0407,0.9399,0.2462,18.0908,284.4337,313.2433
294.76,0.0431,0.9396,0.2482,18.2356,284.9669,313.3807
294.7713,0.0431,0.9396,0.2482,18.2356,284.9669,313.3807
294.7832,0.047,0.9385,0.251,18.5196,285.3401,313.3334
294.7935,0.047,0.9385,0.251,18.5196,285.3401,313.3334
294.8046,0.0506,0.9373,0.2537,18.8225,285.7734,313.2487
294.8163,0.0506,0.9373,0.2537,18.8225,285.7734,313.2487
294.8269,0.0536,0.936,0.2558,19.4828,286.2607,313.5688
294.838,0.0536,0.936,0.2558,19.4828,286.2607,313.5688
294.8499,0.0563,0.9351,0.2576,20.1024,286.9442,314.3418
294.8603,0.0575,0.9347,0.2586,20.3959,287.3514,314.753
294.8713,0.0575,0.9347,0.2586,20.3959,287.3514,314.753
294.8825,0.0598,0.9339,0.2606,21.0156,288.3022,315.601
294.8938,0.0598,0.9339,0.2606,21.0156,288.3022,315.601
294.9048,0.0617,0.9331,0.2622,21.352,288.8756,316.0215
294.916,0.0617,0.9331,0.2622,21.352,288.8756,316.0215
294.9269,0.0634,0.9323,0.2636,21.5628,289.0999,316.0402
294.938,0.0634,0.9323,0.2636,21.5628,289.0999,316.0402
294.9493,0.065,0.9317,0.2649,21.6233,289.2819,315.9612
294.9601,0.0658,0.9314,0.2656,21.5638,289.495,315.8657
294.9715,0.0658,0.9314,0.2656,21.5638,289.495,315.8657
294.9828,0.0672,0.931,0.2667,21.3851,289.9029,315.6884
294.9938,0.0672,0.931,0.2667,21.3851,289.9029,315.6884
295.0047,0.0683,0.9304,0.2673,21.4473,290.1395,315.6303
295.016,0.0683,0.9304,0.2673,21.4473,290.1395,315.6303
295.027,0.0691,0.9298,0.2674,21.8125,290.2256,316.0067
295.0386,0.0691,0.9298,0.2674,21.8125,290.2256,316.0067
295.0492,0.0698,0.9293,0.2676,21.9851,290.4726,316.379
295.0602,0.0701,0.929,0.2678,22.0173,290.5287,316.2765
295.0717,0.0701,0.929,0.2678,22.0173,290.5287,316.2765
295.0825,0.0707,0.9285,0.268,22.0887,290.4666,316.1437
295.0935,0.0707,0.9285,0.268,22.0887,290.4666,316.1437
295.1049,0.0713,0.9279,0.2682,22.2662,290.4718,316.2487
295.1161,0.0713,0.9279,0.2682,22.2662,290.4718,316.2487
295.127,0.0719,0.9273,0.2686,22.5494,290.7295,316.4593
295.138,0.0719,0.9273,0.2686,22.5494,290.7295,316.4593
295.149,0.0724,0.9269,0.2691,22.6829,291.0917,316.612
295.1603,0.0726,0.9268,0.2692,22.6717,291.1211,316.6306
295.1716,0.0726,0.9268,0.2692,22.6717,291.1211,316.6306
295.1825,0.0728,0.9267,0.2692,22.579,291.0089,316.4533
295.194,0.0728,0.9267,0.2692,22.579,291.0089,316.4533
295.2047,0.0732,0.9265,0.2693,22.5208,290.9673,316.2839
295.2166,0.0732,0.9265,0.2693,22.5208,290.9673,316.2839
