directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,test_to_log,cursor_visibility,rotation,trial_type,target_angle,example_object_movement_filename
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,1,1,1,46.33364,251.9261,familarization,True,0,aligned_1,140,example_object_movement_T001.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,2,1,2,251.9261,278.571,familarization,True,0,aligned_1,130,example_object_movement_T002.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,3,2,1,278.571,286.8265,familarization,True,0,rotated_1_1,130,example_object_movement_T003.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,4,2,2,286.8265,290.8714,familarization,True,0,rotated_1_1,140,example_object_movement_T004.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,5,3,1,290.8714,294.0934,familarization,True,0,rotated_1_2,130,example_object_movement_T005.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,6,3,2,294.0934,297.3158,familarization,True,0,rotated_1_2,140,example_object_movement_T006.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,7,3,3,297.3158,300.2713,familarization,True,0,rotated_1_2,130,example_object_movement_T007.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,8,3,4,300.2713,302.9715,familarization,True,0,rotated_1_2,140,example_object_movement_T008.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,9,4,1,302.9715,305.9157,familarization,False,0,clamped_1,130,example_object_movement_T009.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,10,4,2,305.9157,308.3604,familarization,False,0,clamped_1,140,example_object_movement_T010.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,11,4,3,308.3604,310.7608,familarization,False,0,clamped_1,140,example_object_movement_T011.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,12,4,4,310.7608,313.3605,familarization,False,0,clamped_1,130,example_object_movement_T012.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,13,4,5,313.3605,316.0602,familarization,False,0,clamped_1,130,example_object_movement_T013.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,14,4,6,316.0602,318.338,familarization,False,0,clamped_1,140,example_object_movement_T014.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,15,4,7,318.338,320.8159,familarization,False,0,clamped_1,130,example_object_movement_T015.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,16,4,8,320.8159,323.0605,familarization,False,0,clamped_1,140,example_object_movement_T016.csv
familiarization/P_190429160923/S001,familiarization,P_190429160923,1,17,5,1,323.0605,341.0324,familarization,True,0,aligned_2,50,example_object_movement_T017.csv















